"Candidate","Human","Seshat"
"97679","16","20.45"
"150123","19","33.70"
"150187","29","28.10"
"150411","21","24.65"
"142064","33","23.40"
"142868","26.5","34.60"
"147539","27.5","39.45"
"98609","24","32.60"
"149918","36","43.75"
"148247","24.5","26.20"
"150238","38","43.60"
"93649","37.5","52.15"
"143148","23","28.40"
"144638","32","39.10"
"149474","28","37.55"
"148893","21.5","34.40"
"123698","20","-1"
"78924","39","46.50"
"150631","36","43.00"
"150246","34","44.70"
"148622","28","33.10"
"150240","37","44.05"
"142554","30","28.20"
"123768","31.5","38.25"
"149705","23","20.50"
"149689","29.5","29.45"
"150063","38.5","49.75"
"150051","29","33.40"
"149844","26","29.45"
"149652","30.5","20.75"
"146798","37","40.10"
"143666","26","27.65"
"148811","31","30.90"
"149966","33","32.35"
"149423","28","34.85"
"149691","28","34.80"
"148587","9","13.20"
"147904","27","33.05"
"150908","29.5","27.40"
"142624","35.5","30.30"
"149836","28","38.90"
"149373","32","21.25"
"150093","29.5","32.15"
"144054","19","27.80"
"150901","28.5","40.05"
"149728","34","41.15"
"149133","34","31.00"
"149611","32","42.00"
"149620","32.5","45.40"
"149687","38","43.05"
"148644","35.5","43.15"
"149686","24.5","35.95"
"149618","31.5","45.55"
"149047","31.5","44.85"
"148369","31","39.10"
"148532","22","18.00"
"148796","38","27.35"
"150312","18","23.70"
"144261","28.5","43.35"
"149762","36","37.85"
"123723","11","-1"
"149190","33","37.35"
"98009","35","33.85"
"150683","32.5","45.40"
"150402","21","34.30"
"149516","30","33.05"
"148887","30.5","30.70"
"150542","24","31.40"
"149933","32","40.85"
"146013","33","44.85"
"150422","35.5","36.65"
"147948","35","36.95"
"150194","33.5","44.20"
"148588","22.5","28.75"
"144512","20","32.20"
"150977","36.5","50.50"
"150524","31.5","25.35"
"148080","28","23.20"
"149814","34.5","47.00"
"147612","31","38.80"
"150192","34","37.55"
"91459","27","22.65"
"144645","28.5","34.20"
"54286","35.5","41.70"
"148415","37.5","43.75"
"38767","31","40.35"
"150616","33.8","37.90"
"143509","23.5","20.30"
"123763","19","30.00"
"150464","33","22.55"
"150530","36","29.10"
"99884","20","21.55"
